Number_Plaquettes	coupling	chemical	theta	bond_dimension	Energy_GS	winding_number	eA	eB	Oflip	Oflipp	entropy
5	-10.0	0.0	0.0	160	-100.39840352067552	-5.000000000000004	2.0008346817203932	1.0079536917231025	9.960476414450037	3.055908212906731e-16	[0.034537960113489884, -3.2315692558096045, -9.80673237174614, -9.540524403590407, -9.887510598012984, -3.2958368660043282]
5	-5.0	0.0	0.0	160	-50.78752255394781	-5.0	2.0033423593709605	1.0306528984150631	9.84733416067541	1.0379856863123147e-16	[0.10711332210551514, -3.0892020779076392, -9.711123402336293, -15.360414328375649, -9.887510598012986, -3.2958368660043265]
5	-1.0	0.0	0.0	160	-13.046294288045411	-4.999999999999997	2.0415423926200584	1.3454742669183577	8.158883934155647	-6.581060233605011e-16	[0.6825382660259199, -1.526084988055628, -8.66944204758251, -29.66253179403897, -9.887510598012994, -3.29583686600433]
5	-0.5	0.0	0.0	160	-9.194500044073212	-4.999999999999997	2.0378008818994275	1.4856721798266441	7.230170443001036	7.416822211748637e-16	[0.875798949272997, -0.8134473705196502, -8.149683780396554, -29.66253179403897, -9.887510598012991, -3.2958368660043313]
5	-0.2	0.0	0.0	160	-7.105994355235474	-5.0	2.020606835160404	1.549765373453607	6.70886378915941	-8.590329685445028e-16	[0.9608602977709348, -0.47448628352684863, -7.63745202960806, -29.662531794039, -9.88751059801299, -3.29583686600433]
5	-0.1	0.0	0.0	160	-6.442762401106741	-4.999999999999996	2.0130352099022772	1.5657960830842865	6.557726945713903	1.4319804019750703e-16	[0.9821162421065972, -0.3852491616665888, -7.398539608916053, -29.662531794038962, -9.887510598012984, -3.29583686600433]
5	0.0	0.0	0.0	160	-5.794074384986495	-5.000000000000002	2.0047705529730417	1.5792876872876969	6.417801763800813	6.651937799416894e-16	[1.0003061686559596, -0.305917822813327, -7.105641364446703, -29.662531794038983, -9.887510598012991, -3.2958368660043282]
5	0.1	0.0	0.0	160	-5.158875384370711	-4.999999999999998	1.9958167636420105	1.5903736104020736	6.287660825113112	1.935167862278577e-16	[1.015870402575989, -0.23423270934846915, -6.739629932021462, -29.662531794038998, -9.887510598012977, -3.29583686600433]
5	0.2	0.0	0.0	160	-4.536279507762672	-4.999999999999993	1.9860587127296816	1.599131937350358	6.165391561964197	-9.051374901016461e-16	[1.0292474615240776, -0.16744896266809906, -6.271904414952634, -29.662531794038994, -9.887510598012973, -3.29583686600433]
5	0.5	0.0	0.0	160	-2.738539433599413	-4.999999999999999	1.948495546287643	1.6103506731459456	5.822053757331983	2.6522165832694346e-15	[1.0600186204092987, 0.0401059383570779, -2.9796347421194307, -26.358946247629518, -9.887510598013005, -3.29583686600433]
6	-10.0	0.0	0.0	160	-120.46487860444513	-6.000000000000002	2.003035962506509	1.0101549597246386	11.953867022090966	1.3637196242743542e-17	[0.03453789636921782, -3.2315724517443996, -9.808634323871695, -9.688728807308067, -9.6439736706504, -9.887510598012984, -3.2958368660043282]
6	-5.0	0.0	0.0	160	-60.9193468041722	-5.999999999999998	2.011906350792629	1.0392160776302612	11.821560621624485	-4.248586934643609e-16	[0.10711024143291854, -3.089275644283574, -9.73768862489015, -11.920959399438203, -12.240864144274349, -9.88751059801299, -3.29583686600433]
6	-1.0	0.0	0.0	160	-15.58442584862196	-6.0	2.156453359735172	1.4601761807224112	9.797474532353037	-1.5811017405258167e-15	[0.6815153255949442, -1.5304373621912473, -8.595601170508687, -27.567993388578493, -29.662531794038998, -9.887510598013, -3.2958368660043282]
6	-0.5	0.0	0.0	160	-10.968133796805821	-6.000000000000007	2.2130472397771235	1.6625486796962656	8.64515800664534	-8.316506884156611e-15	[0.877011047520055, -0.7830429214638518, -7.922764974544219, -26.888495923904376, -29.662531794038966, -9.887510598012978, -3.29583686600433]
6	-0.2	0.0	0.0	160	-8.473073360087385	-5.999999999999998	2.22530947958958	1.7564059776586767	8.01040779840842	-2.5559667701889912e-14	[0.9622448038625802, -0.4362130000659702, -7.3407032462863935, -26.16474318095289, -29.662531794038948, -9.887510598012991, -3.2958368660043265]
6	-0.1	0.0	0.0	160	-7.681215012950202	-6.000000000000008	2.2255443584831656	1.7800957810349898	7.8292595586694915	3.388144974438962e-14	[0.9833155486755321, -0.3477882058380511, -7.085415770647275, -25.979275431635433, -29.662531794038983, -9.887510598012987, -3.29583686600433]
6	0.0	0.0	0.0	160	-6.906751395035732	-5.999999999999994	2.224158964839058	1.800267415081867	7.662185689672024	-8.253937520927935e-15	[1.0012997275125815, -0.2701342036872976, -6.780614487055405, -25.85913754179724, -29.662531794038955, -9.887510598012998, -3.2958368660043282]
6	0.1	0.0	0.0	160	-6.148384579294631	-5.999999999999993	2.221219533727606	1.8171586232474124	7.506897610615351	1.7319713420996535e-15	[1.0166773235033701, -0.20048814707499232, -6.408083940055914, -25.68058155537357, -29.66253179403899, -9.887510598012991, -3.29583686600433]
6	0.2	0.0	0.0	160	-5.405069076927036	-5.999999999999997	2.216654800316287	1.8309194316943278	7.360686869740584	-1.2034749845076434e-15	[1.0299054114790298, -0.1357222909928358, -5.9393111810561505, -24.587115538687893, -29.662531794038966, -9.887510598012982, -3.2958368660043282]
6	0.5	0.0	0.0	160	-3.2593555676926136	-6.0	2.1897276313372678	1.852435131212844	6.945785795078284	-2.1303674375176742e-16	[1.6368293209709421, 0.13622595619716604, -5.072028769514861, -42.171602608186085, -59.32506358807791, -22.547833865517873, -10.750556815368332]
7	-10.0	0.0	0.0	160	-140.53135374524703	-7.000000000000003	2.00523723571851	1.0123562300034736	13.94725760135649	-1.1422990310551006e-16	[0.03453789617198463, -3.2315725607172117, -9.80890378906044, -9.697926818547732, -9.814483147898668, -9.646708630836594, -9.887510598012987, -3.2958368660043282]
7	-5.0	0.0	0.0	160	-71.05117281542118	-6.999999999999996	2.020469811911485	1.0477793532797224	13.795785356665123	3.4711599133026547e-17	[0.10711019296718664, -3.0892821612311874, -9.741005962649789, -12.206730847096697, -9.711597600883628, -12.26245371512194, -9.887510598012984, -3.2958368660043282]
7	-1.0	0.0	0.0	160	-18.122901301336608	-7.000000000000011	2.2714283524238033	1.5749349625883136	11.43586207375261	-1.1536908191952643e-17	[0.681355952920589, -1.5344513954922991, -8.602813549718764, -27.362307424146493, -39.61560905474259, -29.66253179403895, -9.887510598012987, -3.29583686600433]
7	-0.5	0.0	0.0	160	-12.742580423388686	-7.000000000000008	2.3905718055724288	1.8408802320004476	10.058536977493665	-9.392413928326532e-16	[0.8784439106521216, -0.7658435093961614, -7.818460681497173, -26.364004416657473, -49.01258874452209, -29.662531794038955, -9.887510598012993, -3.29583686600433]
7	-0.2	0.0	0.0	160	-9.841262178997502	-7.000000000000007	2.4323852024147463	1.9644483538629323	9.311878133611664	3.4204411396527845e-16	[0.9636550038006415, -0.4138831963573478, -7.191156898794349, -25.25840752505011, -53.39794031655741, -29.66253179403897, -9.887510598012991, -3.2958368660043282]
7	-0.1	0.0	0.0	160	-8.9207536476116	-6.999999999999998	2.440209663652461	1.9956332878170284	9.101316559084196	-6.821913826870365e-16	[0.9845285853817255, -0.3259734297074573, -6.926065561476386, -24.931261577296493, -53.75912893083223, -29.66253179403897, -9.887510598012982, -3.2958368660043282]
7	0.0	0.0	0.0	160	-8.020439595373169	-7.000000000000002	2.4454423509146905	2.022310257542235	8.907507524398596	-2.7539736573614462e-15	[1.0023056538920287, -0.24925929749979958, -6.613588929254574, -24.661524998026763, -50.21693853093673, -29.662531794038976, -9.887510598012984, -3.29583686600433]
7	0.1	0.0	0.0	160	-7.138798961571839	-7.000000000000009	2.4482461629944323	2.044839416300026	8.727285196682477	-2.0465761148425715e-15	[1.0174956828180906, -0.180636409487009, -6.235101868370066, -24.218895943297046, -51.79971018381352, -29.662531794038948, -9.887510598012984, -3.29583686600433]
7	0.2	0.0	0.0	160	-6.274645147088761	-7.000000000000005	2.448615630457142	2.063450587744003	8.55718224282105	2.495681269710498e-15	[1.0305681466105756, -0.11675358669164268, -5.760679084463609, -22.508719840346963, -45.75142698756946, -29.662531794038927, -9.887510598012994, -3.2958368660043282]
7	0.5	0.0	0.0	160	-3.780635828017643	-6.999999999999993	2.431741637392334	2.0949328644738627	8.070422726243232	-7.84519773610822e-17	[1.0608422796712826, 0.0862499711777849, -2.3506619201434598, -20.39278266032198, -50.97147217673193, -29.662531794038948, -9.88751059801299, -3.2958368660043265]
