  Lx lambda chemical theta bondD   Energy_GS    winding         eA         eB         MA         MB      Oflip     Oflipp
   5 -10.00     0.00  0.00   160 -100.398404  -5.000000   4.980238   4.980238   4.963741  -4.963741   9.960476   0.000000
   5  -5.00     0.00  0.00   160 -50.787523  -5.000000   4.923667   4.923667   4.859595  -4.859595   9.847334  -0.000000
   5  -1.00     0.00  0.00   160 -13.046294  -5.000000   4.079442   4.079442  -3.163430   3.163430   8.158884  -0.000000
   5  -0.50     0.00  0.00   160  -9.194500  -5.000000   3.615085   3.615085   2.043209  -2.043209   7.230170  -0.000000
   5  -0.20     0.00  0.00   160  -7.105994  -5.000000   3.354432   3.354432   1.371328  -1.371328   6.708864   0.000000
   5  -0.10     0.00  0.00   160  -6.442762  -5.000000   3.278863   3.278863   1.178856  -1.178856   6.557727  -0.000000
   5   0.00     0.00  0.00   160  -5.794074  -5.000000   3.208901   3.208901  -1.005106   1.005106   6.417802  -0.000000
   5   0.10     0.00  0.00   160  -5.158875  -5.000000   3.143830   3.143830   0.849516  -0.849516   6.287661  -0.000000
   5   0.20     0.00  0.00   160  -4.536280  -5.000000   3.082696   3.082696  -0.710584   0.710584   6.165392   0.000000
   5   0.50     0.00  0.00   160  -2.738539  -5.000000   2.911027   2.911027  -0.373055   0.373055   5.822054  -0.000000
   6 -10.00     0.00  0.00   160 -120.464879  -6.000000   5.976934   5.976934  -5.958228  -5.958228  11.953867  -0.000000
   6  -5.00     0.00  0.00   160 -60.919347  -6.000000   5.910780   5.910780   5.838041   5.838041  11.821561  -0.000000
   6  -1.00     0.00  0.00   160 -15.584426  -6.000000   4.898737   4.898737   3.828112   3.828112   9.797475   0.000000
   6  -0.50     0.00  0.00   160 -10.968134  -6.000000   4.322579   4.322579  -2.419875  -2.419875   8.645158   0.000000
   6  -0.20     0.00  0.00   160  -8.473073  -6.000000   4.005204   4.005204  -1.584957  -1.584957   8.010408  -0.000000
   6  -0.10     0.00  0.00   160  -7.681215  -6.000000   3.914630   3.914630  -1.352739  -1.352739   7.829260  -0.000000
   6   0.00     0.00  0.00   160  -6.906751  -6.000000   3.831093   3.831093  -1.146318  -1.146318   7.662186  -0.000000
   6   0.10     0.00  0.00   160  -6.148385  -6.000000   3.753449   3.753449  -0.964004  -0.964004   7.506898  -0.000000
   6   0.20     0.00  0.00   160  -5.405069  -6.000000   3.680343   3.680343   0.803041   0.803041   7.360687   0.000000
   6   0.50     0.00  0.00   160  -3.259356  -6.000000   3.472893   3.472893   0.416898   0.416898   6.945786  -0.000000
   7 -10.00     0.00  0.00   160 -140.531354  -7.000000   6.973629   6.973629   6.952716   6.952716  13.947258   0.000000
   7  -5.00     0.00  0.00   160 -71.051173  -7.000000   6.897893   6.897893   6.816484   6.816484  13.795785   0.000000
   7  -1.00     0.00  0.00   160 -18.122901  -7.000000   5.717931   5.717931   4.492186   4.492186  11.435862   0.000000
   7  -0.50     0.00  0.00   160 -12.742580  -7.000000   5.029268   5.029268  -2.786702  -2.786702  10.058537   0.000000
   7  -0.20     0.00  0.00   160  -9.841262  -7.000000   4.655939   4.655939   1.786047   1.786047   9.311878   0.000000
   7  -0.10     0.00  0.00   160  -8.920754  -7.000000   4.550658   4.550658   1.515048   1.515048   9.101317   0.000000
   7   0.00     0.00  0.00   160  -8.020440  -7.000000   4.453754   4.453754  -1.277326  -1.277326   8.907508   0.000000
   7   0.10     0.00  0.00   160  -7.138799  -7.000000   4.363643   4.363643   1.069765   1.069765   8.727285  -0.000000
   7   0.20     0.00  0.00   160  -6.274645  -7.000000   4.278591   4.278591  -0.888172  -0.888172   8.557182  -0.000000
   7   0.50     0.00  0.00   160  -3.395563  -7.000000   4.036032   4.036032   0.458242   0.458242   8.072064   0.000000
   7   0.50     0.00  0.00   320  -3.780310  -7.000000   4.035211   4.035211   0.456696   0.456696   8.070423   0.000000
   7   0.50     0.00  0.00   640  -3.780636  -7.000000   4.035211   4.035211   0.456696   0.456696   8.070423   0.000000
   8 -10.00     0.00  0.00   160 -160.597829  -8.000000   7.970324   7.970324  -7.947203   7.947203  15.940648   0.000000
   8  -5.00     0.00  0.00   160 -81.182999  -8.000000   7.885005   7.885005  -7.794928   7.794928  15.770010   0.000000
   8  -1.00     0.00  0.00   160 -20.661331  -8.000000   6.537246   6.537246   5.156687  -5.156687  13.074493  -0.000000
   8  -0.50     0.00  0.00   160 -14.517147  -8.000000   5.735416   5.735416  -3.146592   3.146592  11.470832  -0.000000
   8  -0.20     0.00  0.00   160 -11.209830  -8.000000   5.306468   5.306468   1.977433  -1.977433  10.612936   0.000000
   8  -0.10     0.00  0.00   160 -10.160696  -8.000000   5.186634   5.186634  -1.668364   1.668364  10.373268   0.000000
   8   0.00     0.00  0.00   160  -9.134531  -8.000000   5.076464   5.076464  -1.400392   1.400392  10.152929   0.000000
   8   0.10     0.00  0.00   160  -8.129601  -8.000000   4.973938   4.973938  -1.168718   1.168718   9.947877  -0.000000
   8   0.20     0.00  0.00   160  -7.144586  -8.000000   4.876958   4.876958  -0.967567   0.967567   9.753916   0.000000
   8   0.50     0.00  0.00   160  -4.302215  -8.000000   4.597626   4.597626  -0.493286   0.493286   9.195252  -0.000000
   9 -10.00     0.00  0.00   160 -180.664304  -9.000000   8.967019   8.967019   8.941690  -8.941690  17.934039  -0.000000
   9  -5.00     0.00  0.00   160 -91.314825  -9.000000   8.872117   8.872117  -8.773371   8.773371  17.744235  -0.000000
   9  -1.00     0.00  0.00   160 -23.199782  -9.000000   7.356571   7.356571  -5.821206   5.821206  14.713142   0.000000
   9  -0.50     0.00  0.00   160 -16.291930  -9.000000   6.441119   6.441119  -3.500082   3.500082  12.882238   0.000000
   9  -0.20     0.00  0.00   160 -12.578795  -9.000000   5.956917   5.956917  -2.160252   2.160252  11.913834  -0.000000
   9  -0.10     0.00  0.00   160 -11.401038  -9.000000   5.822661   5.822661   1.813860  -1.813860  11.645323   0.000000
   9   0.00     0.00  0.00   160 -10.249003  -9.000000   5.699306   5.699306   1.516637  -1.516637  11.398613   0.000000
   9   0.10     0.00  0.00   160  -9.120752  -9.000000   5.584401   5.584401  -1.261878   1.261878  11.168801  -0.000000
   9   0.20     0.00  0.00   160  -8.014843  -9.000000   5.475495   5.475495   1.042117  -1.042117  10.950990  -0.000000
   9   0.50     0.00  0.00   160  -4.824022  -9.000000   5.160161   5.160161  -0.527217   0.527217  10.320322  -0.000000
