  Lx lambda chemical theta bondD   Energy_GS    winding         eA         eB         MA         MB      Oflip     Oflipp 
   5 -10.00     0.00  0.00   320 -100.398404  -5.000000   4.980238   4.980238   4.963741  -4.963741   9.960476  -0.000000
   5  -5.00     0.00  0.00   320 -50.787523  -5.000000   4.923667   4.923667  -4.859595   4.859595   9.847334  -0.000000
   5  -1.00     0.00  0.00   320 -13.046294  -5.000000   4.079442   4.079442   3.163430  -3.163430   8.158884   0.000000
   5  -0.50     0.00  0.00   320  -9.194500  -5.000000   3.615085   3.615085   2.043209  -2.043209   7.230170  -0.000000
   5  -0.20     0.00  0.00   320  -7.105994  -5.000000   3.354432   3.354432   1.371328  -1.371328   6.708864  -0.000000
   5  -0.10     0.00  0.00   320  -6.442762  -5.000000   3.278863   3.278863  -1.178856   1.178856   6.557727  -0.000000
   5   0.00     0.00  0.00   320  -5.794074  -5.000000   3.208901   3.208901   1.005106  -1.005106   6.417802   0.000000
   5   0.10     0.00  0.00   320  -5.158875  -5.000000   3.143830   3.143830   0.849516  -0.849516   6.287661  -0.000000
   5   0.20     0.00  0.00   320  -4.536280  -5.000000   3.082696   3.082696   0.710584  -0.710584   6.165392  -0.000000
   5   0.50     0.00  0.00   320  -2.738539  -5.000000   2.911027   2.911027   0.373055  -0.373055   5.822054  -0.000000
  10 -10.00     0.00  0.00   320 -200.730779 -10.000000   9.963715   9.963715  -9.936177  -9.936177  19.927429   0.000000
  10  -5.00     0.00  0.00   320 -101.446651 -10.000000   9.859230   9.859230   9.751815   9.751815  19.718459  -0.000000
  10  -1.00     0.00  0.00   320 -25.738233 -10.000000   8.175913   8.175913  -6.485783  -6.485783  16.351826   0.000000
  10  -0.50     0.00  0.00   320 -18.066848 -10.000000   7.146479   7.146479   3.848115   3.848115  14.292959   0.000000
  10  -0.20     0.00  0.00   320 -13.948036 -10.000000   6.607300   6.607300  -2.335682  -2.335682  13.214600  -0.000000
  10  -0.10     0.00  0.00   320 -12.641660 -10.000000   6.458717   6.458717   1.952653   1.952653  12.917435   0.000000
  10   0.00     0.00  0.00   320 -11.363742 -10.000000   6.322232   6.322232   1.627068   1.627068  12.644463   0.000000
  10   0.10     0.00  0.00   320 -10.112153 -10.000000   6.194968   6.194968  -1.350120  -1.350120  12.389936   0.000000
  10   0.20     0.00  0.00   320  -8.885327 -10.000000   6.074139   6.074139   1.112564   1.112564  12.148278   0.000000
  10   0.50     0.00  0.00   320  -5.346000 -10.000000   5.722774   5.722774   0.558910   0.558910  11.445548   0.000000
  20 -10.00     0.00  0.00   320 -401.395531 -20.000000  19.930668  19.930668  19.881050 -19.881050  39.861335  -0.000000
  20  -5.00     0.00  0.00   320 -202.764911 -20.000000  19.730353  19.730353  19.536249 -19.536249  39.460707   0.000000
  20  -1.00     0.00  0.00   320 -51.122777 -20.000000  16.369443  16.369443 -13.131934  13.131934  32.738886  -0.000000
  20  -0.50     0.00  0.00   320 -35.819790 -20.000000  14.190321  14.190321   7.128567  -7.128567  28.380642  -0.000000
  20  -0.20     0.00  0.00   320 -27.647934 -20.000000  13.110085  13.110085  -3.817523   3.817523  26.220170  -0.000000
  20  -0.10     0.00  0.00   320 -25.055303 -20.000000  12.820661  12.820661  -3.098804   3.098804  25.641323  -0.000000
  20   0.00     0.00  0.00   320 -22.518150 -20.000000  12.554077  12.554077   2.525338  -2.525338  25.108154  -0.000000
  20   0.10     0.00  0.00   320 -20.032600 -20.000000  12.303599  12.303599   2.060465  -2.060465  24.607197   0.000000
  20   0.20     0.00  0.00   320 -17.596024 -20.000000  12.063432  12.063432  -1.674698   1.674698  24.126863  -0.000000
  20   0.50     0.00  0.00   320 -10.570207 -20.000000  11.350918  11.350918   0.800343  -0.800343  22.701836   0.000000
  40 -10.00     0.00  0.00   320 -802.725033 -40.000000  39.864573  39.864573 -39.770796  39.770796  79.729147   0.000000
  40  -5.00     0.00  0.00   320 -405.401432 -40.000000  39.472600  39.472600  39.105118 -39.105118  78.945201  -0.000000
  40  -1.00     0.00  0.00   320 -101.891870 -40.000000  32.756534  32.756534 -26.424354  26.424354  65.513068   0.000000
  40  -0.50     0.00  0.00   320 -71.330952 -40.000000  28.261092  28.261092 -13.175799  13.175799  56.522184   0.000000
  40  -0.20     0.00  0.00   320 -55.059085 -40.000000  26.115093  26.115093   6.033170  -6.033170  52.230187  -0.000000
