Lx  lambda  chemical  theta  bondD  Energy_GS  winding  eA  eB  MA  MB  U4  Oflip  Oflipp  charge
19  0.00  0.00  0.00  400  -21.402247  -19.000000  11.930770  11.930770  -2.447583  -2.447583  0.972061  23.861541  -0.000000  -0.000000
19  0.00  0.10  0.00  400  -21.402247  -19.000000  11.930770  11.930770  -2.447583  -2.447583  0.972061  23.861541  -0.000000  -0.000000

19  0.00  0.20  0.00  400  -18.827309  -7.000000  8.914426  8.914426  1.743516  1.743516  0.962607  17.828852  -0.000000  0.000000

19  0.00  0.30  0.00  400  -19.542136  -1.000000  7.500000  7.500000  0.316892  0.316892  0.955556  15.000000  0.000000  -0.000000

19  0.00  0.40  0.00  400  -20.727922  1.000000  6.750000  6.750000  -0.639666  -0.639666  0.950617  13.500000  0.000000  0.000000

19  0.00  0.50  0.00  400  -22.313708  3.000000  6.000000  6.000000  0.391297  0.391297  0.944444  12.000000  -0.000000  -0.000000

19  0.00  0.60  0.00  400  -24.085281  7.000000  4.500000  4.500000  0.534799  0.534799  0.925926  9.000000  -0.000000  -0.000000

19  0.00  0.70  0.00  400  -26.614214  17.000000  0.750000  0.750000  -0.027288  -0.027288  0.555556  1.500000  -0.000000  0.000000

19  0.00  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -4266395421576390114279424.000000  0.000000  0.000000  0.000000

19  0.00  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -45837342793564374932914176.000000  0.000000  -0.000000  0.000000

19  0.00  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -14793339241603506458591232.000000  0.000000  0.000000  0.000000

19  -0.10  0.00  0.00  400  -23.813433  -19.000000  12.184390  12.184390  2.998549  2.998549  0.972643  24.368779  -0.000000  0.000000

19  0.10  0.00  0.00  400  -19.040141  -19.000000  11.692605  11.692605  1.999418  1.999418  0.971492  23.385209  -0.000000  -0.000000

19  -0.10  0.10  0.00  400  -23.813433  -19.000000  12.184390  12.184390  2.998549  2.998549  0.972643  24.368779  0.000000  -0.000000

