Lx  lambda  mu_y  theta  bondD  Energy_GS  winding  eA  eB  MA  MB  U4  Oflip  Oflipp  charge  
24  -1.00  2.40  0.00  50  -120.000000  24.000000  0.000000  0.000000  -0.000000  0.000000  -18489494274917345135689728.000000  0.000000  -0.000000  0.000000
24  -1.00  1.81  0.00  50  -91.669207  14.134100  4.959617  4.959617  0.028993  -0.028993  0.932791  9.919235  -1.972818  0.000000
24  -1.00  0.95  0.00  50  -67.885685  -2.947901  14.655989  14.176920  0.000000  -0.000000  0.977256  28.832910  -0.000000  -0.000000
24  -1.00  0.95  0.00  75  -67.885713  -2.947901  14.655989  14.176920  -0.000000  0.000000  0.977256  28.832910  0.000000  0.000000
24  -1.00  0.95  0.00  100  -67.885713  -2.947901  14.655989  14.176920  0.000000  -0.000000  0.977256  28.832910  0.000000  -0.000000
24  -1.00  0.73  0.00  50  -64.661146  -6.173856  16.352703  16.352703  -1.345343  1.345343  0.979616  32.705405  1.119800  0.000000
24  -1.00  0.73  0.00  75  -64.661194  -6.173855  16.352703  16.352703  -1.345343  1.345343  0.979616  32.705405  1.119800  -0.000000
24  -1.00  0.73  0.00  100  -64.661194  -6.173855  16.352703  16.352703  -1.345343  1.345343  0.979616  32.705405  1.119800  0.000000
24  -1.00  1.54  0.00  50  -82.073179  6.939394  8.730960  8.730960  -0.143837  0.143837  0.961822  17.461920  1.885066  -0.000000
24  -1.00  1.54  0.00  75  -82.073181  6.939394  8.730960  8.730960  -0.143837  0.143837  0.961822  17.461920  1.885066  -0.000000
24  -1.00  2.14  0.00  50  -107.000000  24.000000  0.000000  0.000000  0.000000  -0.000000  -714004634624053220181278720.000000  0.000000  0.000000  0.000000
24  -1.00  2.33  0.00  50  -116.500000  24.000000  0.000000  0.000000  0.000000  0.000000  -511956637888159417091751936.000000  0.000000  -0.000000  0.000000
24  -1.00  2.25  0.00  50  -112.500000  24.000000  0.000000  0.000000  -0.000000  0.000000  -335401571874378179095298048.000000  0.000000  -0.000000  0.000000
24  -1.00  1.12  0.00  50  -71.113098  -1.750975  13.696546  13.696546  -0.666558  0.666558  0.975663  27.393092  1.567596  -0.000000
24  -1.00  1.12  0.00  75  -71.113121  -1.750975  13.696546  13.696546  -0.666558  0.666558  0.975663  27.393092  1.567596  -0.000000
24  -1.00  1.12  0.00  100  -71.113122  -1.750975  13.696546  13.696546  -0.666558  0.666558  0.975663  27.393092  1.567596  -0.000000
24  -1.00  1.58  0.00  50  -83.353179  6.939394  8.730960  8.730960  0.143837  -0.143837  0.961822  17.461920  -1.885066  -0.000000
