  Lx lambda     mu_y theta bondD   Energy_GS    winding         eA         eB         MA         MB         U4      Oflip     Oflipp     charge
  16  -1.00     0.20  0.00    40 -40.968959  -8.283350  13.092025  13.092025  10.473452 -10.473452   0.974539  26.184050   0.000000   0.000000
  16  -1.00     0.22  0.00    40 -40.968959  -8.283350  13.092025  13.092025 -10.473452  10.473452   0.974539  26.184050  -0.000000   0.000000
  16  -1.00     0.24  0.00    40 -40.968959  -8.283350  13.092025  13.092025 -10.473452  10.473452   0.974539  26.184050  -0.000000   0.000000
  16  -1.00     0.26  0.00    40 -40.968959  -8.283350  13.092025  13.092025  10.473452 -10.473452   0.974539  26.184050   0.000000   0.000000
  16  -1.00     0.28  0.00    40 -40.968959  -8.283350  13.092025  13.092025 -10.473452  10.473452   0.974539  26.184050  -0.000000  -0.000000
  16  -1.00     0.30  0.00    40 -41.008654  -7.031923  11.180210  13.821040   0.000000  -0.000000   0.970185  25.001250  -0.000000   0.000000
  16  -1.00     0.32  0.00    40 -41.048654  -7.031923  11.180210  13.821040   0.000000  -0.000000   0.970185  25.001250  -0.000000   0.000000
  16  -1.00     0.34  0.00    40 -41.088654  -7.031923  13.821040  11.180210  -0.000000   0.000000   0.975882  25.001250   0.000000  -0.000000
  16  -1.00     0.36  0.00    40 -41.128415  -6.048179  12.006420  12.006420  -1.777699   1.777699   0.972237  24.012839   0.482109   0.000000
  16  -1.00     0.38  0.00    40 -41.208415  -6.048179  12.006420  12.006420  -1.777699   1.777699   0.972237  24.012839   0.482109   0.000000
  16  -1.00     0.40  0.00    40 -41.288415  -6.048179  12.006420  12.006420  -1.777699   1.777699   0.972237  24.012839   0.482109  -0.000000
  16  -1.00     0.42  0.00    40 -41.368415  -6.048179  12.006420  12.006420   1.777699  -1.777699   0.972237  24.012839  -0.482109  -0.000000
  16  -1.00     0.44  0.00    40 -41.448415  -6.048179  12.006420  12.006420  -1.777699   1.777699   0.972237  24.012839   0.482109   0.000000
  16  -1.00     0.46  0.00    40 -41.528415  -6.048179  12.006420  12.006420   1.777699  -1.777699   0.972237  24.012839  -0.482109   0.000000
  16  -1.00     0.48  0.00    40 -41.622230  -5.157395  10.826242  12.219113  -0.000000   0.000000   0.969211  23.045355   0.000000  -0.000000
  16  -1.00     0.50  0.00    40 -41.742230  -5.157395  10.826242  12.219113  -0.000000   0.000000   0.969211  23.045355   0.000000  -0.000000
  16  -1.00     0.52  0.00    40 -41.862230  -5.157395  12.219113  10.826242  -0.000000   0.000000   0.972720  23.045355   0.000000  -0.000000
  16  -1.00     0.54  0.00    40 -41.982230  -5.157395  12.219113  10.826242   0.000000  -0.000000   0.972720  23.045355   0.000000  -0.000000
  16  -1.00     0.56  0.00    40 -42.102230  -5.157395  12.219113  10.826242   0.000000  -0.000000   0.972720  23.045355   0.000000  -0.000000
  16  -1.00     0.58  0.00    40 -42.222230  -5.157395  10.826242  12.219113   0.000000  -0.000000   0.969211  23.045355  -0.000000   0.000000
  16  -1.00     0.60  0.00    40 -42.342230  -5.157395  10.826242  12.219113  -0.000000  -0.000000   0.969211  23.045355   0.000000   0.000000
  16  -1.00     0.62  0.00    40 -42.494973  -4.251047  10.998814  10.998814   1.428355  -1.428355   0.969694  21.997628  -1.057350  -0.000000
  16  -1.00     0.64  0.00    40 -42.654973  -4.251047  10.998814  10.998814   1.428355  -1.428355   0.969694  21.997628  -1.057350   0.000000
  16  -1.00     0.66  0.00    40 -42.814973  -4.251047  10.998814  10.998814   1.428355  -1.428355   0.969694  21.997628  -1.057350  -0.000000
  16  -1.00     0.68  0.00    40 -42.974973  -4.251047  10.998814  10.998814   1.428355  -1.428355   0.969694  21.997628  -1.057350  -0.000000
  16  -1.00     0.70  0.00    40 -43.134973  -4.251047  10.998814  10.998814  -1.428355   1.428355   0.969694  21.997628   1.057350   0.000000
  16  -1.00     0.72  0.00    40 -43.294973  -4.251047  10.998814  10.998814   1.428355  -1.428355   0.969694  21.997628  -1.057350  -0.000000
  16  -1.00     0.74  0.00    40 -43.454973  -4.251047  10.998814  10.998814   1.428355  -1.428355   0.969694  21.997628  -1.057350  -0.000000
  16  -1.00     0.76  0.00    40 -43.653797  -3.281180  10.056547  10.778370   0.000000  -0.000000   0.966854  20.834917  -0.000000   0.000000
  16  -1.00     0.78  0.00    40 -43.853797  -3.281180  10.056547  10.778370   0.000000  -0.000000   0.966854  20.834917  -0.000000   0.000000
  16  -1.00     0.80  0.00    40 -44.053797  -3.281180  10.778370  10.056547  -0.000000   0.000000   0.969074  20.834917  -0.000000  -0.000000
  16  -1.00     0.82  0.00    40 -44.253797  -3.281180  10.056547  10.778370  -0.000000   0.000000   0.966854  20.834917  -0.000000  -0.000000
  16  -1.00     0.84  0.00    40 -44.453797  -3.281180  10.056547  10.778370   0.000000  -0.000000   0.966854  20.834917  -0.000000  -0.000000
  16  -1.00     0.86  0.00    40 -44.653797  -3.281180  10.056547  10.778370  -0.000000   0.000000   0.966854  20.834917  -0.000000  -0.000000
  16  -1.00     0.88  0.00    40 -44.858964  -2.224863   9.775868   9.775868  -0.889278   0.889278   0.965902  19.551736   1.430711  -0.000000
  16  -1.00     0.90  0.00    40 -45.098964  -2.224863   9.775868   9.775868  -0.889278   0.889278   0.965902  19.551736   1.430711  -0.000000
  16  -1.00     0.92  0.00    40 -45.338964  -2.224863   9.775868   9.775868   0.889278  -0.889278   0.965902  19.551736  -1.430711  -0.000000
  16  -1.00     0.94  0.00    40 -45.578964  -2.224863   9.775868   9.775868   0.889278  -0.889278   0.965902  19.551736  -1.430711  -0.000000
  16  -1.00     0.96  0.00    40 -45.818964  -2.224863   9.775868   9.775868   0.889278  -0.889278   0.965902  19.551736  -1.430711   0.000000
  16  -1.00     0.98  0.00    40 -46.058964  -2.224863   9.775868   9.775868   0.889278  -0.889278   0.965902  19.551736  -1.430711   0.000000
  16  -1.00     1.00  0.00    40 -46.298964  -2.224863   9.775868   9.775868  -0.889278   0.889278   0.965902  19.551736   1.430711  -0.000000
  16  -1.00     1.02  0.00    40 -46.557588  -1.069256   8.879241   9.274470  -0.000000   0.000000   0.962459  18.153712   0.000000  -0.000000
  16  -1.00     1.04  0.00    40 -46.837588  -1.069256   8.879241   9.274470   0.000000  -0.000000   0.962459  18.153712   0.000000  -0.000000
  16  -1.00     1.06  0.00    40 -47.117588  -1.069256   9.274470   8.879241   0.000000  -0.000000   0.964059  18.153712  -0.000000  -0.000000
  16  -1.00     1.08  0.00    40 -47.397588  -1.069256   8.879241   9.274470  -0.000000   0.000000   0.962459  18.153712  -0.000000   0.000000
  16  -1.00     1.10  0.00    40 -47.677588  -1.069256   8.879241   9.274470  -0.000000   0.000000   0.962459  18.153712   0.000000  -0.000000
  16  -1.00     1.12  0.00    40 -47.957588  -1.069256   9.274470   8.879241  -0.000000   0.000000   0.964059  18.153712  -0.000000  -0.000000
  16  -1.00     1.14  0.00    40 -48.239883   0.193525   8.325063   8.325063   0.493547  -0.493547   0.959960  16.650127  -1.670609   0.000000
  16  -1.00     1.16  0.00    40 -48.559883   0.193525   8.325063   8.325063   0.493547  -0.493547   0.959960  16.650127  -1.670609   0.000000
  16  -1.00     1.18  0.00    40 -48.879883   0.193525   8.325063   8.325063   0.493547  -0.493547   0.959960  16.650127  -1.670609   0.000000
  16  -1.00     1.20  0.00    40 -49.199883   0.193525   8.325063   8.325063  -0.493547   0.493547   0.959960  16.650127   1.670609   0.000000
  16  -1.00     1.22  0.00    40 -49.519883   0.193525   8.325063   8.325063   0.493547  -0.493547   0.959960  16.650127  -1.670609   0.000000
  16  -1.00     1.24  0.00    40 -49.839883   0.193525   8.325063   8.325063  -0.493547   0.493547   0.959960  16.650127   1.670609   0.000000
  16  -1.00     1.26  0.00    40 -50.159883   0.193525   8.325063   8.325063  -0.493547   0.493547   0.959960  16.650127   1.670609   0.000000
  16  -1.00     1.28  0.00    40 -50.517056   1.568296   7.636935   7.413976  -0.000000   0.000000   0.956352  15.050911   0.000000   0.000000
  16  -1.00     1.30  0.00    40 -50.877056   1.568296   7.413976   7.636935   0.000000  -0.000000   0.955040  15.050911  -0.000000  -0.000000
  16  -1.00     1.32  0.00    40 -51.237056   1.568296   7.413976   7.636935   0.000000  -0.000000   0.955040  15.050911  -0.000000   0.000000
  16  -1.00     1.34  0.00    40 -51.597056   1.568296   7.413976   7.636935   0.000000  -0.000000   0.955040  15.050911  -0.000000  -0.000000
  16  -1.00     1.36  0.00    40 -51.957056   1.568296   7.636935   7.413976  -0.000000   0.000000   0.956352  15.050911   0.000000  -0.000000
  16  -1.00     1.38  0.00    40 -52.320310   3.057330   6.682824   6.682824  -0.236474   0.236474   0.950121  13.365647   1.825267   0.000000
  16  -1.00     1.40  0.00    40 -52.720310   3.057330   6.682824   6.682824   0.236474  -0.236474   0.950121  13.365647  -1.825267   0.000000
  16  -1.00     1.42  0.00    40 -53.120310   3.057330   6.682824   6.682824  -0.236474   0.236474   0.950121  13.365647   1.825267   0.000000
  16  -1.00     1.44  0.00    40 -53.520310   3.057330   6.682824   6.682824   0.236474  -0.236474   0.950121  13.365647  -1.825267   0.000000
  16  -1.00     1.46  0.00    40 -53.920310   3.057330   6.682824   6.682824  -0.236474   0.236474   0.950121  13.365647   1.825267  -0.000000
  16  -1.00     1.48  0.00    40 -54.320310   3.057330   6.682824   6.682824   0.236474  -0.236474   0.950121  13.365647  -1.825267   0.000000
  16  -1.00     1.50  0.00    40 -54.740572   4.659865   5.860505   5.743059   0.000000  -0.000000   0.943122  11.603564   0.000000   0.000000
