
#####################################################################
comparison between ED and DMRG
################## Results for lam = 0 #############################
Lx        *old ED*           *new ED*              *DMRG*
 5    -3.574919794839    -3.574919794839     -3.574919794839047  
 6    -4.516154804374    -4.681054477118     -4.68105447711841 
 7    -5.794074384986    -5.794074384986     -5.7940743849865 
 8    -6.779141622113    -6.906751395036     -6.906751395035721
 9    -8.020439595408    -8.020439595408     -8.020439595326732 
10    -9.030893505422    -9.134531414502     -9.134531414054047

################## Results for lam = -1.0 ###########################
Lx       *new ED*              *DMRG*
 5    -9.799949275207           -7.974455254448452
 6    -14.158416227280          -10.506926661935019
 7    -14.879873962146          -13.04629428804542
 8    -19.234560817093          -15.584425848621935
 9    -19.957980469854          -18.122901301378754
10    -24.311246901410          -20.66133121810221


################## Results for lam = 0.5  ###########################
Lx       *new ED*              *DMRG*
 5     -1.017386093019          -1.6997733245487496   
 6     -0.802188227132          -2.2181535256050675
 7     -2.079796521965          -2.738539433606534
 8     -1.846849877302          -3.259355567692613
 9     -3.137017010059          -3.7806358280301926
10     -2.890953314515          -4.302215138892721
